NAME / RANK,0,UP,FPN,FPC,FPK,FPQ,FPL,MP,IP,EP,AC,CP,LEAD,SOLL II JP SEAT,SOLL II LT SEAT,SOLL II RT SEAT,SPECIAL AIRLIFT PILOT (1SAP)
10020,EP A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10065,EP A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10087,EP A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10108,EP A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10022,EP A2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
10013,EP AL,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
10055,EP AL,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
10109,EP AL,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
10077,EP A1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
10009,FPCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10025,FPCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10043,FPCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10076,FPCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10089,FPCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10096,FPCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10094,FPKA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10106,FPKA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10019,FPKC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10047,FPKN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10003,FPLC5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10054,FPLC5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10075,FPLC5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10058,FPLCR,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
10011,FPNC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10028,FPNC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10045,FPNC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10063,FPNC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10101,FPNC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105,FPNC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10044,FPQC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10093,FPQC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10010,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10030,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10033,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10039,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10048,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10053,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10056,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10057,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10059,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10067,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10072,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10080,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10090,FPQC5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10098,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10107,FPQC5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
10017,FPQCR,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
10024,IP A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10037,IP A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10081,IP A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10083,IP A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10049,IP A2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10052,IP A2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10060,IP A2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
10061,IP A2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10100,IP A2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10062,IP AL,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
10085,IP AL,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
10092,IP A1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10099,IP A1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10008,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10023,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10031,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10032,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10042,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10064,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10071,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10073,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
10074,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10097,IP B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10006,IP B2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10018,IP B2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10012,IP B3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10027,IP B3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
10038,IP B3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
10041,IP B3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
10002,IP BJ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10040,IP BJ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10068,IP BJ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10078,IP BJ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10088,IP BJ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10095,IP BJ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
10070,IP B1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
10014,IP BZ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10021,IP BZ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10005,IPA2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10004,MP C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10007,MP C,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10029,MP C5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10084,MP C5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10086,MP CR,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10091,MP CR,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
10026,MP CZ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10082,UP A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0